time,F0,F1,F2,F3
0.022482993197279307,,636.1344325503893,1403.9180806091756,2613.3316946896443
0.032482993197279306,,1012.143566737852,1580.063661331961,2618.033214875155
0.04248299319727931,,1095.0168841786335,1761.5185857394713,2749.4759179009216
0.05248299319727931,,867.300464193964,1825.593157049579,2948.039494351294
0.062482993197279305,,792.657606986866,1771.1235930986104,2973.9221974274205
0.07248299319727931,,635.5335229346636,1566.6758383331712,2714.7741728793635
0.08248299319727931,,569.3144835458861,1601.603337188688,2734.1115545149664
0.0924829931972793,,611.9069200441884,1561.6304867560434,2676.748907194335
0.10248299319727931,,600.6335869348675,1538.132500751066,2634.750616703009
0.11248299319727931,,674.2013151697331,1408.9730233414473,2859.2933552080053
0.12248299319727932,,792.6673557163533,1115.5189068932987,2827.267253578819
0.1324829931972793,,745.7652841515186,1118.380818113736,2838.3423695632464
0.1424829931972793,173.8574570817141,786.0481282113942,1123.3310050757734,2842.072181438391
0.15248299319727932,168.57838789291904,784.0084014516972,1094.517535892666,2837.978692296613
0.16248299319727932,160.88203874619376,731.0730559454913,1087.387819654916,2829.8314924223378
0.1724829931972793,152.4428464076532,744.6692320438278,1082.0608757214204,2820.565831957903
0.18248299319727931,149.64207895190157,763.1640943149317,1071.7600576132602,2831.4454158735343
0.19248299319727932,140.75230598437938,738.1132471993272,1088.7624120528055,2845.9136735335924
0.2024829931972793,137.93025814874662,716.2750324384008,1134.2425646640222,2884.014272360269
0.2124829931972793,136.16714944099294,689.0424169383417,1100.7589079367474,2898.6833252961783
0.22248299319727932,136.47315609619773,661.7730334479141,1049.0030117466058,2888.5287374854647
0.2324829931972793,137.1631995919072,663.1709238836279,1056.740083118825,2893.0509652900064
0.2424829931972793,135.74372089862334,669.9579959558464,1052.3106138357073,2898.5095884575953
0.2524829931972793,135.74185712835012,651.2048199020112,1028.4928339400917,2877.8398865622107
0.2624829931972793,135.29380782453984,634.4302418304607,1027.6352765421252,2861.5481453449897
0.2724829931972793,134.66413314717474,619.8614825528507,1039.805983867376,2865.174209248043
0.2824829931972793,134.36723230877263,612.2916178458737,1052.4884670627437,2875.7038357563224
0.29248299319727933,133.15519068238277,607.5953921323306,1058.8157902555436,2865.9008424881395
0.30248299319727934,130.6808682236409,612.6803564503086,1036.0802643342656,2858.590366602944
0.3124829931972793,129.95738585282072,632.1018097765066,1020.8672428340973,2845.9945220596046
0.3224829931972793,129.34389589194464,650.2724467513,1013.9905758633295,2841.495628848524
0.3324829931972793,129.18394981240186,627.0342892672033,1023.5740426556663,2830.8988310166665
0.3424829931972793,130.05175531883745,616.3070338422791,1024.8651832471503,2787.853098878413
0.3524829931972793,129.9101116589441,639.6197422831222,1029.0868271668796,2835.9063491676643
0.36248299319727934,130.14874601795316,638.7607900806294,1057.4212769761486,2893.8167541950456
0.3724829931972793,130.5845632130885,623.760175653194,1085.7891656673305,2893.3937800840026
0.3824829931972793,130.4792080232599,623.1122376264951,1092.0901422992622,2895.0602476827285
0.3924829931972793,130.43687829286614,625.1246212970115,1063.052616680493,2862.4803543670228
0.4024829931972793,130.41335528369606,628.9353477107817,1060.5073967656115,2859.668058756492
0.4124829931972793,128.89778641668522,653.4568082596037,1086.3971987538205,2846.37958041296
0.42248299319727933,129.2855002616201,649.9489539774914,1090.395670292231,2817.5912723918655
0.43248299319727934,129.2568433028088,620.4380964211399,1081.695586585104,2860.0773034274507
0.4424829931972793,129.52779604382144,600.657312636327,1053.9075168046,2897.4254557899308
0.4524829931972793,129.45334827284805,612.4749153136555,1039.095509570288,2904.8523716153927
0.4624829931972793,128.21069898425608,621.5474436759752,1031.3677226291252,2889.4888856182824
0.4724829931972793,127.92166034056358,604.3007689558091,1024.0564422119476,2847.7067907982696
0.48248299319727933,127.7073346585411,604.8946098911686,1037.796185711277,2826.266702951992
0.49248299319727934,127.66388006510844,615.9085934376299,1041.4008210489344,2899.2351515491164
0.5024829931972793,128.07753851507513,604.3558422939233,1033.4950652323944,2892.203161078235
0.5124829931972793,127.53670726308275,586.7311501766861,1027.2641927820205,2847.8380265098194
0.5224829931972793,126.32219348950187,583.0775371956643,1018.2950524878092,2851.917798231492
0.5324829931972793,126.10800998291818,605.7399647116064,1015.2731886963768,2888.292949912127
0.5424829931972793,126.3183055389706,618.7260747643021,1021.4630020821153,2930.3571380611324
0.5524829931972793,125.99116376569171,624.3285233191319,1028.6713977943484,2911.6452802923295
0.5624829931972793,125.5708850246625,625.2804839450266,1025.2260569300104,2887.0144507911364
0.5724829931972794,125.59905066993566,620.6072010381288,1012.6677417538071,2885.508464449415
0.5824829931972794,125.44276930226883,624.3992391509266,1012.5731900564517,2928.175262830142
0.5924829931972794,124.74979678545806,631.8074464119777,1006.5918428467972,2939.945661114978
0.6024829931972793,123.46360824265818,615.8065778666825,1002.3295353924373,2970.293212522679
0.6124829931972793,123.62179600281988,582.7791944599597,1008.3525218688702,2950.819093800264
0.6224829931972793,123.65573905496035,580.339470163318,1009.9517132627886,2914.457096422441
0.6324829931972793,123.73371630712545,595.6998720219528,1005.8243495984981,2913.3976616351983
0.6424829931972793,123.65655187711332,615.8566087013938,1006.4256685095779,2909.515881198677
0.6524829931972793,123.34549959027036,604.8473655473276,996.1396955327663,2906.6260968236784
0.6624829931972793,123.09145512540914,590.3518216997162,990.7797403473757,2903.7679545065153
0.6724829931972793,122.80995544823934,590.0564471091299,992.4192718904045,2889.1793898462824
0.6824829931972793,122.93846335695216,564.8674438058807,989.7178430356565,2872.8860164372954
0.6924829931972794,123.88669793513418,562.4808736484802,1011.7952695069353,2867.237016853027
0.7024829931972794,125.031780847231,602.6846502229014,1015.7747347987072,2901.7536115545017
0.7124829931972794,125.12320650075924,644.0358160107997,1010.7128510666947,2955.757029953776
0.7224829931972794,124.86711777740223,653.8797501231747,1012.5027042645098,2945.859682938226
0.7324829931972793,124.1512549555799,656.5356456223038,1015.8842470091131,2942.8448852926776
0.7424829931972793,123.89261967363831,685.305389882577,993.4469104235488,2958.381241713465
0.7524829931972793,123.6357330361825,695.4958861917099,981.3447580047819,2936.922970119358
0.7624829931972793,123.83822620620329,719.8120632673692,994.7645742485049,2911.754729356352
0.7724829931972793,123.9033610209433,697.941177529877,990.0181961585668,2931.5852567239403
0.7824829931972793,123.86608998867568,664.987515465821,1003.1574917894411,2903.2917491922017
0.7924829931972793,124.9514715575414,695.3432557323343,1011.2320453217831,2869.578906059836
0.8024829931972793,124.78529770148093,667.7485448383997,1015.6705949305729,2887.1749442141117
0.8124829931972793,125.06299209248621,619.6155756210771,1013.9900881827062,2917.040433435982
0.8224829931972794,124.54571541106878,608.4431257288146,1003.2193216841008,2917.194679761831
0.8324829931972794,124.51370653359184,601.6196191697092,1005.3642781793575,2902.3825048017547
0.8424829931972794,124.48450806044427,601.6434579570082,1006.0315902407808,2959.819376718255
0.8524829931972793,124.21405635571348,612.3949315448443,1006.8337845821746,3021.521055348032
0.8624829931972793,123.90824797429482,587.8327192518893,996.9701004017438,2991.623650914737
0.8724829931972793,123.8219636134265,570.4312006139679,995.4831416751389,2932.2069539908107
0.8824829931972793,123.9710405453621,581.9719585009435,1007.2821317532886,2903.164740341466
0.8924829931972793,123.60808396490847,584.9893229884383,1004.4013306338363,2888.028056036158
0.9024829931972793,124.28403142024182,595.1155690053014,1001.155930942448,2928.748900974823
0.9124829931972793,123.9623337647858,602.6904457806219,1003.0707805231685,2951.340844893517
0.9224829931972793,123.469870435692,598.6785897727277,1000.9983402382697,2939.744973559395
0.9324829931972793,123.85216345287641,595.752327721872,1000.0443052135888,2934.0979544234788
0.9424829931972794,124.14526928058167,610.4295762401263,1013.1554345307721,2931.0258998731724
0.9524829931972794,123.98938719782036,624.764183787659,1016.4876095350129,2920.476872547962
0.9624829931972794,123.88728757174756,610.7166310671263,1004.0594187187046,2897.7876727439825
0.9724829931972794,123.67286365988669,593.0528530787396,991.9595899991758,2922.6653453760846
0.9824829931972793,123.37971272007138,594.8719854777029,996.738991804098,2935.537050138224
0.9924829931972793,123.28014934395587,608.6985951641262,1003.1959163544326,2930.686594607391
1.0024829931972794,123.4992543760222,618.7230169218603,1004.6561204522725,2945.6575805582797
1.0124829931972794,123.54807734845868,610.8712049545877,999.2390827601236,2955.0871523158685
1.0224829931972794,123.3007918125894,603.6304869963059,999.5135155662398,2902.3341515019238
1.0324829931972794,123.2744512129022,585.4611722273661,999.1417773827479,2843.4721175302734
1.0424829931972792,123.15513031466809,564.7871356214569,994.8662338455403,2850.851896843107
1.0524829931972792,122.57787162519709,544.0502981148554,996.7806829082633,2884.7873490866614
1.0624829931972792,121.96066880979402,532.0339270075277,991.7377605343089,2865.9565862445693
1.0724829931972792,122.5953941726758,571.4171465123972,976.7624823780983,2882.385950465248
1.0824829931972793,122.69638321058328,569.0828442915255,964.991403649705,2937.2578340322825
1.0924829931972793,122.60052540698564,542.2524088967228,986.0062492724451,2914.3513654130475
1.1024829931972793,122.50336462065158,552.9522045461135,1007.0333390478886,2934.484521261146
1.1124829931972793,123.7167379285335,553.2094331111124,1005.8891930512394,2934.962903549055
1.1224829931972793,124.01351000215531,547.7323428274327,992.3157395600497,2896.1834574333398
1.1324829931972793,124.36930640857929,564.2121673360227,1001.1725965042541,2909.8786854132104
1.1424829931972793,124.57751443544481,573.3563703886238,1003.3892332766465,2954.1500848534215
1.1524829931972793,124.6225079908026,555.730892861929,996.6707205641922,2986.665095131965
1.1624829931972793,124.93534139436315,543.9436793915241,998.0452956572318,2964.130683414717
1.1724829931972793,125.95175883015698,532.4546722331137,995.5472828143958,2911.807060017942
1.1824829931972793,126.1209985876646,548.6001281812568,1016.7454059286245,2898.0806473517823
1.1924829931972794,126.27790809964144,563.6982049667056,1024.18121059318,2935.2819596897302
1.2024829931972794,127.03119351084017,548.1173770514532,1012.0583204025733,2962.44975682185
1.2124829931972794,127.69440569044194,556.880890298775,1008.3018468458463,2963.9968492366565
1.2224829931972794,127.03445594204376,586.3333932397127,1005.8237724680636,2962.4329428115757
1.2324829931972794,126.86689042869067,578.6546709799271,1006.4225013173536,2920.33337866797
1.2424829931972794,126.78324727390923,558.1035028607497,1007.3102943538041,2975.1192848071405
1.2524829931972794,126.52370505560467,579.1392400299877,1001.7979814908707,3086.019848401507
1.2624829931972794,126.47833863613442,594.9185723350226,1005.1598171161611,3031.748853460912
1.2724829931972794,126.11760162986094,590.3644650773651,1007.9676798319377,2992.8865668126928
1.2824829931972794,126.26803843328325,599.1839369875917,1007.4036806365423,3080.3701283969845
1.2924829931972794,126.23092117851027,594.9118331569198,1009.745476333921,3112.1522296062103
1.3024829931972792,125.84471911339124,589.1032803157174,1011.9553067552403,3045.919435260601
1.3124829931972792,125.41882926956897,584.3224169910706,1006.7504458180521,2995.2315395579635
1.3224829931972792,125.29561246658793,559.6912225517884,1002.2816096728156,2945.108324875356
1.3324829931972793,125.5924261876864,541.0853246031211,1008.8263104993248,2962.2652149317823
1.3424829931972793,126.10353477580306,548.6846113032462,1005.4238031003343,2969.4412011322875
1.3524829931972793,125.95016929430358,573.462316170299,1005.1279157729501,2932.438395246004
1.3624829931972793,125.81787501617686,589.3465459084902,1010.7910903967498,2936.316755648648
1.3724829931972793,125.47848426508185,602.1869110331583,1010.2257385074981,2940.0347749492566
1.3824829931972793,125.70543585692461,587.2848338121668,1001.9434696020593,2986.591541122341
1.3924829931972793,125.85057788747669,574.8627083381144,998.1577497902482,3029.6117084155867
1.4024829931972793,126.10640851436213,583.9443072625487,997.1257131645161,2995.7702238528327
1.4124829931972793,126.45951984666469,580.730319513257,1001.2425101171629,3019.9437677412025
1.4224829931972793,126.15304348947562,575.632867415463,1008.8977392460683,3059.3609158590107
1.4324829931972793,125.6388853563232,578.9747008704121,1006.7709513285877,2973.015347089603
1.4424829931972794,125.39597219295447,582.5677984327691,1006.6298644389876,2927.0569984209433
1.4524829931972794,125.29013305000015,563.0419913234151,1002.2567410865064,2918.6357304813096
1.4624829931972794,125.88192740428535,559.1837891445028,1000.3351228203196,2951.11536400415
1.4724829931972794,125.66534256676589,569.2011919742781,1009.0133208530368,2984.1034453948077
1.4824829931972794,125.30600791084858,566.5566188714555,1008.3637089214351,2963.7793383774606
1.4924829931972794,124.97875215697306,561.8387796362485,1002.7502668709747,2975.5997199535286
1.5024829931972794,125.05462621603111,565.6753070301343,1007.4690529356234,2985.1756982779793
1.5124829931972794,124.33459231378241,573.215100551751,1008.625868211654,3000.2583079242495
1.5224829931972794,124.5444520920809,579.1882674473046,1000.9107196815694,2973.539776606337
1.5324829931972794,124.73855991596184,589.6877149386687,996.6566730601303,2963.329450200228
1.5424829931972794,124.99184288075293,590.6783825483285,993.3014805732672,2993.4094646650096
1.5524829931972794,124.61739072626742,586.4560529736402,989.4445507964399,2991.8042341367272
1.5624829931972792,124.38828830926201,588.6340019649882,998.8115390921439,2957.6113075733083
1.5724829931972792,124.5669608710986,594.5578841876896,1014.7052680220162,2901.1503935841315
1.5824829931972793,124.35836734337738,598.1499198196216,1017.6099995449116,2874.2423010974126
1.5924829931972793,124.75251632457461,591.5615501311494,1009.721704980255,2889.658522976086
1.6024829931972793,124.61549928858433,591.3596879343055,1000.7559151120423,2922.5597877910736
1.6124829931972793,124.57076768855337,594.4753494491954,1003.6247359618479,2964.8517278990653
1.6224829931972793,125.17981409971071,590.883455698862,1013.5768368802824,3009.826720122326
1.6324829931972793,125.80203541675696,589.8667993007889,996.3594371374629,2977.126784933553
1.6424829931972793,126.19264285252308,579.5508113481162,979.726574716453,2956.2842064336887
1.6524829931972793,126.20490214090296,565.4131476013006,986.3244229170481,2998.8753865690005
1.6624829931972793,125.82992418727905,565.2989576517984,990.7180127775824,2994.77198810279
1.6724829931972793,125.22104847636632,585.3779331978742,980.705237238144,2988.631186279285
1.6824829931972793,125.05760371594914,599.8954620835905,980.9704469109068,2984.8878301719333
